# E,dup,ddn,pup,pdn,oct,totup,totdn
-7.424749,0.389368,0.004571,0.338222,0.000243,3.604985,2.530082,1.807306
-7.344482,0.386984,0.004715,0.347297,0.000250,3.692825,2.580693,1.851378
-7.264214,0.383863,0.004862,0.355883,0.000258,3.778347,2.628919,1.894294
-7.183946,0.380005,0.005013,0.363962,0.000266,3.861175,2.674554,1.935866
-7.103679,0.375429,0.005168,0.371539,0.000274,3.940943,2.717440,1.975914
-7.023411,0.370170,0.005328,0.378650,0.000282,4.017302,2.757471,2.014261
-6.943144,0.364277,0.005491,0.385358,0.000291,4.089917,2.794594,2.050741
-6.862876,0.357814,0.005659,0.391754,0.000300,4.158472,2.828804,2.085195
-6.782609,0.350856,0.005832,0.397952,0.000309,4.222671,2.860143,2.117476
-6.702341,0.343486,0.006009,0.404089,0.000318,4.282236,2.888693,2.147445
-6.622074,0.335795,0.006192,0.410319,0.000327,4.336907,2.914567,2.174973
-6.541806,0.327873,0.006379,0.416807,0.000337,4.386443,2.937902,2.199938
-6.461538,0.319815,0.006572,0.423721,0.000347,4.430618,2.958846,2.222229
-6.381271,0.311711,0.006771,0.431230,0.000358,4.469221,2.977552,2.241739
-6.301003,0.303647,0.006975,0.439496,0.000368,4.502052,2.994169,2.258369
-6.220736,0.295702,0.007185,0.448666,0.000379,4.528927,3.008831,2.272028
-6.140468,0.287948,0.007402,0.458871,0.000390,4.549671,3.021655,2.282628
-6.060201,0.280449,0.007625,0.470218,0.000402,4.564125,3.032730,2.290089
-5.979933,0.273256,0.007855,0.482787,0.000414,4.572145,3.042116,2.294341
-5.899666,0.266415,0.008092,0.496625,0.000426,4.573606,3.049843,2.295320
-5.819398,0.259959,0.008336,0.511744,0.000438,4.568403,3.055904,2.292976
-5.739130,0.253912,0.008588,0.528119,0.000451,4.556460,3.060261,2.287269
-5.658863,0.248289,0.008847,0.545684,0.000465,4.537733,3.062839,2.278179
-5.578595,0.243099,0.009116,0.564330,0.000478,4.512214,3.063536,2.265701
-5.498328,0.238339,0.009392,0.583907,0.000493,4.479938,3.062215,2.249854
-5.418060,0.234004,0.009678,0.604220,0.000507,4.440987,3.058717,2.230679
-5.337793,0.230079,0.009974,0.625036,0.000522,4.395492,3.052860,2.208242
-5.257525,0.226546,0.010279,0.646083,0.000538,4.343637,3.044448,2.182636
-5.177258,0.223383,0.010595,0.667061,0.000554,4.285658,3.033273,2.153978
-5.096990,0.220563,0.010921,0.687644,0.000571,4.221846,3.019130,2.122415
-5.016722,0.218057,0.011259,0.707493,0.000588,4.152540,3.001820,2.088117
-4.936455,0.215834,0.011609,0.726267,0.000606,4.078128,2.981164,2.051278
-4.856187,0.213861,0.011971,0.743631,0.000624,3.999036,2.957010,2.012113
-4.775920,0.212105,0.012347,0.759273,0.000643,3.915729,2.929243,1.970854
-4.695652,0.210532,0.012736,0.772914,0.000663,3.828697,2.897795,1.927747
-4.615385,0.209107,0.013139,0.784318,0.000683,3.738450,2.862651,1.883047
-4.535117,0.207798,0.013558,0.793299,0.000704,3.645511,2.823852,1.837017
-4.454849,0.206570,0.013992,0.799729,0.000726,3.550404,2.781501,1.789920
-4.374582,0.205391,0.014443,0.803539,0.000749,3.453648,2.735754,1.742016
-4.294314,0.204229,0.014912,0.804718,0.000772,3.355752,2.686823,1.693561
-4.214047,0.203054,0.015400,0.803307,0.000797,3.257203,2.634963,1.644798
-4.133779,0.201836,0.015907,0.799399,0.000822,3.158462,2.580466,1.595960
-4.053512,0.200547,0.016434,0.793119,0.000848,3.059964,2.523648,1.547265
-3.973244,0.199159,0.016984,0.784626,0.000876,2.962105,2.464838,1.498912
-3.892977,0.197647,0.017557,0.774095,0.000904,2.865248,2.404366,1.451085
-3.812709,0.195987,0.018154,0.761710,0.000934,2.769717,2.342555,1.403946
-3.732441,0.194158,0.018776,0.747658,0.000965,2.675795,2.279713,1.357639
