# E,dup,ddn,pup,pdn,oct,totup,totdn
-7.665552,0.004469,0.028370,0.000452,0.062789,4.276787,2.143315,2.229552
-7.585284,0.004615,0.029970,0.000467,0.066139,4.357084,2.183624,2.274651
-7.505017,0.004765,0.031565,0.000482,0.069643,4.442975,2.226735,2.322696
-7.424749,0.004919,0.033145,0.000497,0.073301,4.534703,2.272768,2.373797
-7.344482,0.005078,0.034699,0.000513,0.077111,4.631779,2.321480,2.427700
-7.264214,0.005240,0.036216,0.000530,0.081074,4.733105,2.372322,2.483842
-7.183946,0.005407,0.037686,0.000547,0.085187,4.837208,2.424558,2.541477
-7.103679,0.005579,0.039101,0.000564,0.089450,4.942552,2.477419,2.599827
-7.023411,0.005756,0.040455,0.000582,0.093859,5.047893,2.530284,2.658261
-6.943144,0.005938,0.041743,0.000600,0.098410,5.152614,2.582845,2.716460
-6.862876,0.006125,0.042962,0.000619,0.103098,5.256991,2.635239,2.774556
-6.782609,0.006317,0.044113,0.000638,0.107916,5.362332,2.688121,2.833194
-6.702341,0.006515,0.045197,0.000658,0.112850,5.470944,2.742646,2.893519
-6.622074,0.006720,0.046217,0.000679,0.117885,5.585928,2.800362,2.957067
-6.541806,0.006930,0.047180,0.000700,0.123000,5.710792,2.863026,3.025576
-6.461538,0.007147,0.048093,0.000722,0.128166,5.848940,2.932338,3.100728
-6.381271,0.007370,0.048962,0.000744,0.133347,6.003092,3.009661,3.183855
-6.301003,0.007601,0.049796,0.000767,0.138498,6.174710,3.095723,3.275650
-6.220736,0.007839,0.050603,0.000791,0.143570,6.363506,3.190383,3.375926
-6.140468,0.008085,0.051391,0.000816,0.148501,6.567115,3.292458,3.483450
-6.060201,0.008338,0.052166,0.000841,0.153226,6.780975,3.399667,3.595880
-5.979933,0.008600,0.052936,0.000868,0.157673,6.998436,3.508686,3.709827
-5.899666,0.008871,0.053705,0.000895,0.161766,7.211117,3.615324,3.821030
-5.819398,0.009151,0.054478,0.000923,0.165432,7.409444,3.714796,3.924632
-5.739130,0.009440,0.055261,0.000952,0.168596,7.583348,3.802067,4.015531
-5.658863,0.009740,0.056056,0.000982,0.171191,7.723021,3.872232,4.088757
-5.578595,0.010050,0.056867,0.001013,0.173158,7.819659,3.920893,4.139855
-5.498328,0.010371,0.057699,0.001045,0.174449,7.866122,3.944478,4.165209
-5.418060,0.010704,0.058556,0.001079,0.175031,7.857430,3.940497,4.162302
-5.337793,0.011049,0.059442,0.001113,0.174886,7.791068,3.907696,4.129862
-5.257525,0.011407,0.060363,0.001149,0.174013,7.667081,3.846096,4.067916
-5.177258,0.011778,0.061326,0.001186,0.172427,7.487956,3.756942,3.977731
-5.096990,0.012163,0.062338,0.001225,0.170161,7.258340,3.642558,3.861670
-5.016722,0.012564,0.063409,0.001265,0.167263,6.984620,3.506139,3.722982
-4.936455,0.012980,0.064546,0.001307,0.163792,6.674439,3.351506,3.565557
-4.856187,0.013413,0.065760,0.001350,0.159818,6.336174,3.182849,3.393665
-4.775920,0.013863,0.067061,0.001395,0.155420,5.978443,3.004480,3.211703
-4.695652,0.014332,0.068461,0.001442,0.150679,5.609673,2.820611,3.023977
-4.615385,0.014820,0.069970,0.001491,0.145679,5.237733,2.635178,2.834516
-4.535117,0.015330,0.071600,0.001542,0.140502,4.869669,2.451706,2.646936
-4.454849,0.015861,0.073362,0.001595,0.135225,4.511526,2.273219,2.464350
-4.374582,0.016416,0.075267,0.001650,0.129921,4.168257,2.102195,2.289316
-4.294314,0.016996,0.077326,0.001708,0.124654,3.843703,1.940556,2.123831
-4.214047,0.017602,0.079550,0.001769,0.119483,3.540637,1.789690,1.969351
-4.133779,0.018237,0.081950,0.001832,0.114454,3.260854,1.650496,1.826831
-4.053512,0.018901,0.084536,0.001899,0.109608,3.005287,1.523443,1.696788
-3.973244,0.019598,0.087319,0.001968,0.104978,2.774144,1.408637,1.579369
-3.892977,0.020328,0.090310,0.002041,0.100586,2.567049,1.305894,1.474421
-3.812709,0.021095,0.093519,0.002118,0.096451,2.383182,1.214804,1.381561
-3.732441,0.021902,0.096957,0.002198,0.092584,2.221395,1.134797,1.300238
-3.652174,0.022750,0.100633,0.002283,0.088991,2.080322,1.065194,1.229785
-3.571906,0.023644,0.104560,0.002372,0.085674,1.958461,1.005246,1.169465
-3.491639,0.024586,0.108749,0.002466,0.082633,1.854233,0.954168,1.118498
-3.411371,0.025580,0.113210,0.002565,0.079863,1.766024,0.911157,1.076085
-3.331104,0.026631,0.117954,0.002669,0.077359,1.692203,0.875402,1.041415
-3.250836,0.027742,0.122993,0.002780,0.075115,1.631131,0.846088,1.013674
-3.170569,0.028920,0.128338,0.002898,0.073121,1.581159,0.822397,0.992039
-3.090301,0.030170,0.133999,0.003022,0.071370,1.540621,0.803502,0.975680
-3.010033,0.031497,0.139987,0.003154,0.069852,1.507834,0.788569,0.963756
-2.929766,0.032910,0.146310,0.003295,0.068558,1.481099,0.776754,0.955418
-2.849498,0.034415,0.152976,0.003445,0.067480,1.458718,0.767218,0.949816
-2.769231,0.036021,0.159992,0.003605,0.066609,1.439020,0.759136,0.946111
-2.688963,0.037739,0.167362,0.003776,0.065934,1.420401,0.751715,0.943496
-2.608696,0.039579,0.175087,0.003959,0.065447,1.401370,0.744223,0.941219
-2.528428,0.041554,0.183168,0.004156,0.065138,1.380606,0.736013,0.938609
-2.448161,0.043678,0.191598,0.004367,0.064998,1.357005,0.726548,0.935099
-2.367893,0.045968,0.200371,0.004596,0.065016,1.329730,0.715428,0.930252
-2.287625,0.048441,0.209472,0.004842,0.065182,1.298239,0.702403,0.923773
-2.207358,0.051121,0.218886,0.005109,0.065484,1.262295,0.687378,0.915518
-2.127090,0.054031,0.228590,0.005399,0.065910,1.221968,0.670414,0.905484
-2.046823,0.057200,0.238555,0.005715,0.066448,1.177596,0.651714,0.893801
-1.966555,0.060662,0.248750,0.006060,0.067084,1.129749,0.631597,0.880708
-1.886288,0.064457,0.259135,0.006439,0.067803,1.079164,0.610478,0.866521
-1.806020,0.068630,0.269669,0.006855,0.068591,1.026686,0.588828,0.851603
-1.725753,0.073236,0.280304,0.007315,0.069432,0.973198,0.567151,0.836334
-1.645485,0.078342,0.290986,0.007825,0.070309,0.919566,0.545950,0.821079
-1.565217,0.084024,0.301662,0.008393,0.071208,0.866586,0.525710,0.806163
-1.484950,0.090376,0.312271,0.009029,0.072111,0.814951,0.506881,0.791858
