E,dup,ddn,pup,pdn,octup,octdn,totup,totdn
4.133779,0.448495,-0.403012,0.198431,-0.097956,0.004469,-0.004469,0.651395,-0.505437
4.214047,0.440234,-0.432647,0.192963,-0.108060,0.004369,-0.004369,0.637566,-0.545076
4.294314,0.428549,-0.461792,0.185219,-0.118181,0.004271,-0.004271,0.618038,-0.584244
4.374582,0.413807,-0.489564,0.175545,-0.127991,0.004175,-0.004175,0.593527,-0.621730
4.454849,0.396459,-0.515037,0.164358,-0.137133,0.004081,-0.004081,0.564898,-0.656250
4.535117,0.377013,-0.537288,0.152107,-0.145240,0.003989,-0.003989,0.533110,-0.686518
4.615385,0.356006,-0.555457,0.139247,-0.151963,0.003900,-0.003900,0.499153,-0.711320
4.695652,0.333974,-0.568800,0.126205,-0.156993,0.003812,-0.003812,0.463992,-0.729605
4.775920,0.311429,-0.576739,0.113360,-0.160088,0.003726,-0.003726,0.428515,-0.740553
4.856187,0.288837,-0.578905,0.101025,-0.161093,0.003642,-0.003642,0.393504,-0.743640
4.936455,0.266603,-0.575166,0.089439,-0.159953,0.003560,-0.003560,0.359603,-0.738678
5.016722,0.245066,-0.565633,0.078768,-0.156717,0.003480,-0.003480,0.327314,-0.725829
5.096990,0.224489,-0.550655,0.069105,-0.151535,0.003401,-0.003401,0.296995,-0.705591
5.177258,0.205064,-0.530790,0.060485,-0.144644,0.003324,-0.003324,0.268873,-0.678758
5.257525,0.186916,-0.506765,0.052891,-0.136348,0.003248,-0.003248,0.243056,-0.646361
5.337793,0.170113,-0.479426,0.046272,-0.126994,0.003174,-0.003174,0.219559,-0.609594
5.418060,0.154671,-0.449676,0.040550,-0.116948,0.003102,-0.003102,0.198323,-0.569726
5.498328,0.140567,-0.418430,0.035634,-0.106565,0.003031,-0.003031,0.179232,-0.528027
5.578595,0.127750,-0.386555,0.031428,-0.096174,0.002962,-0.002962,0.162140,-0.485690
5.658863,0.116147,-0.354832,0.027838,-0.086055,0.002893,-0.002893,0.146879,-0.443781
5.739130,0.105672,-0.323931,0.024773,-0.076435,0.002827,-0.002827,0.133272,-0.403193
5.819398,0.096232,-0.294387,0.022154,-0.067479,0.002761,-0.002761,0.121147,-0.364627
5.899666,0.087733,-0.266599,0.019908,-0.059294,0.002697,-0.002697,0.110338,-0.328590
5.979933,0.080082,-0.240832,0.017975,-0.051933,0.002634,-0.002634,0.100691,-0.295400
6.060201,0.073193,-0.217233,0.016303,-0.045407,0.002572,-0.002572,0.092068,-0.265212
6.140468,0.066983,-0.195845,0.014849,-0.039687,0.002512,-0.002512,0.084344,-0.238044
6.220736,0.061378,-0.176630,0.013576,-0.034724,0.002452,-0.002452,0.077407,-0.213805
6.301003,0.056310,-0.159487,0.012457,-0.030449,0.002394,-0.002394,0.071161,-0.192330
6.381271,0.051719,-0.144276,0.011466,-0.026788,0.002337,-0.002337,0.065521,-0.173401
6.461538,0.047551,-0.130831,0.010584,-0.023664,0.002281,-0.002281,0.060415,-0.156776
6.541806,0.043759,-0.118975,0.009794,-0.021003,0.002225,-0.002225,0.055778,-0.142203
6.622074,0.040301,-0.108531,0.009084,-0.018736,0.002171,-0.002171,0.051557,-0.129438
6.702341,0.037141,-0.099333,0.008443,-0.016801,0.002118,-0.002118,0.047703,-0.118252
6.782609,0.034248,-0.091223,0.007862,-0.015146,0.002066,-0.002066,0.044176,-0.108435
6.862876,0.031592,-0.084062,0.007332,-0.013724,0.002015,-0.002015,0.040939,-0.099800
6.943144,0.029150,-0.077725,0.006848,-0.012497,0.001965,-0.001965,0.037963,-0.092187
7.023411,0.026901,-0.072106,0.006405,-0.011433,0.001915,-0.001915,0.035221,-0.085454
7.103679,0.024824,-0.067110,0.005997,-0.010506,0.001867,-0.001867,0.032688,-0.079483
7.183946,0.022905,-0.062659,0.005621,-0.009693,0.001819,-0.001819,0.030345,-0.074171
7.264214,0.021127,-0.058685,0.005274,-0.008976,0.001773,-0.001773,0.028174,-0.069433
7.344482,0.019480,-0.055128,0.004952,-0.008341,0.001727,-0.001727,0.026159,-0.065195
7.424749,0.017950,-0.051938,0.004654,-0.007774,0.001681,-0.001681,0.024286,-0.061394
7.505017,0.016529,-0.049072,0.004377,-0.007266,0.001637,-0.001637,0.022543,-0.057975
7.585284,0.015207,-0.046490,0.004120,-0.006807,0.001593,-0.001593,0.020921,-0.054891
7.665552,0.013977,-0.044158,0.003880,-0.006391,0.001551,-0.001551,0.019408,-0.052100
7.745819,0.012832,-0.042046,0.003657,-0.006010,0.001508,-0.001508,0.017998,-0.049565
7.826087,0.011765,-0.040125,0.003449,-0.005660,0.001467,-0.001467,0.016681,-0.047252
7.906355,0.010772,-0.038371,0.003255,-0.005336,0.001426,-0.001426,0.015453,-0.045133
7.986622,0.009846,-0.036760,0.003075,-0.005035,0.001386,-0.001386,0.014307,-0.043181
8.066890,0.008984,-0.035273,0.002907,-0.004753,0.001347,-0.001347,0.013238,-0.041372
8.147157,0.008182,-0.033890,0.002751,-0.004488,0.001308,-0.001308,0.012240,-0.039687
8.227425,0.007435,-0.032598,0.002605,-0.004238,0.001270,-0.001270,0.011310,-0.038106
8.307692,0.006741,-0.031382,0.002470,-0.004002,0.001232,-0.001232,0.010443,-0.036616
8.387960,0.006096,-0.030231,0.002344,-0.003778,0.001195,-0.001195,0.009635,-0.035204
8.468227,0.005497,-0.029138,0.002226,-0.003566,0.001159,-0.001159,0.008882,-0.033862
8.548495,0.004942,-0.028096,0.002117,-0.003364,0.001123,-0.001123,0.008182,-0.032583
8.628763,0.004427,-0.027102,0.002014,-0.003174,0.001088,-0.001088,0.007530,-0.031364
8.709030,0.003951,-0.026155,0.001918,-0.002993,0.001054,-0.001054,0.006923,-0.030202
8.789298,0.003511,-0.025256,0.001827,-0.002823,0.001020,-0.001020,0.006358,-0.029099
8.869565,0.003104,-0.024406,0.001741,-0.002664,0.000986,-0.000986,0.005831,-0.028056
8.949833,0.002729,-0.023611,0.001659,-0.002514,0.000953,-0.000953,0.005340,-0.027078
9.030100,0.002382,-0.022874,0.001580,-0.002374,0.000921,-0.000921,0.004883,-0.026169
9.110368,0.002064,-0.022201,0.001504,-0.002244,0.000889,-0.000889,0.004457,-0.025334
9.190635,0.001771,-0.021596,0.001431,-0.002124,0.000857,-0.000857,0.004059,-0.024577
9.270903,0.001502,-0.021064,0.001360,-0.002013,0.000826,-0.000826,0.003689,-0.023904
9.351171,0.001257,-0.020610,0.001293,-0.001912,0.000796,-0.000796,0.003345,-0.023317
9.431438,0.001034,-0.020235,0.001228,-0.001819,0.000765,-0.000765,0.003027,-0.022820
9.511706,0.000833,-0.019943,0.001166,-0.001735,0.000736,-0.000736,0.002734,-0.022414
9.591973,0.000652,-0.019733,0.001108,-0.001660,0.000707,-0.000707,0.002467,-0.022099
9.672241,0.000493,-0.019604,0.001053,-0.001592,0.000678,-0.000678,0.002225,-0.021875
9.752508,0.000355,-0.019556,0.001004,-0.001534,0.000650,-0.000650,0.002009,-0.021739
9.832776,0.000239,-0.019585,0.000959,-0.001482,0.000622,-0.000622,0.001819,-0.021689
9.913043,0.000145,-0.019688,0.000918,-0.001439,0.000594,-0.000594,0.001657,-0.021721
9.993311,0.000073,-0.019862,0.000882,-0.001403,0.000567,-0.000567,0.001523,-0.021832
10.073579,0.000025,-0.020105,0.000851,-0.001373,0.000540,-0.000540,0.001416,-0.022018
10.153846,0.000000,-0.020413,0.000823,-0.001350,0.000514,-0.000514,0.001337,-0.022277
10.234114,0.000000,-0.020785,0.000798,-0.001333,0.000488,-0.000488,0.001286,-0.022606
10.314381,0.000024,-0.021222,0.000776,-0.001321,0.000463,-0.000463,0.001263,-0.023005
